kód obce;název obce;voliči v seznamu;vydané obálky;platné hlasy;ANO 2011;Občanská demokratická strana;Svob.a př.dem.-T.Okamura (SPD);Česká pirátská strana;Česká str.sociálně demokrat.;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;TOP 09;Křesť.demokr.unie-Čs.str.lid.;Strana svobodných občanů;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;REALISTÉ;SPORTOVCI;Strana Práv Občanů;SPR-Republ.str.Čsl. M.Sládka;Řád národa - Vlastenecká unie;Dělnic.str.sociální spravedl.;Občanská demokratická aliance;Blok proti islam.-Obran.domova;Referendum o Evropské unii;Radostné Česko;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Unie H.A.V.E.L.;Česká strana národně sociální
565636;Rohatsko;193;135;135;45;26;11;20;6;10;2;6;1;1;0;4;0;0;0;0;0;1;1;0;0;0;0;1;0;0
529605;Rokytá;210;110;110;40;6;17;11;7;3;12;6;1;0;3;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
571148;Rokytovec;105;61;61;21;3;7;3;3;6;9;1;1;0;1;1;0;1;1;0;0;0;0;0;0;3;0;0;0;0
536580;Řepov;538;347;347;129;55;26;40;31;20;9;21;2;0;4;5;0;1;2;0;0;1;0;0;1;0;0;0;0;0
565661;Řitonice;62;41;40;19;3;5;0;2;4;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
529591;Sedlec;194;110;109;30;13;10;8;4;27;4;5;0;4;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0
536610;Semčice;547;350;348;115;30;24;44;17;28;19;27;5;4;15;4;7;4;0;0;0;0;2;0;0;0;2;1;0;0
599573;Sezemice;88;74;74;18;9;9;5;2;15;7;0;2;1;1;2;0;0;1;0;1;0;0;0;0;0;0;0;1;0
536636;Skalsko;321;214;214;73;17;30;24;16;22;11;6;3;3;2;3;1;0;1;1;0;1;0;0;0;0;0;0;0;0
557030;Skorkov;476;341;339;102;55;14;46;23;21;17;19;18;6;2;2;5;1;3;0;1;0;2;0;0;2;0;0;0;0
536652;Smilovice;553;316;313;128;33;26;32;18;17;14;13;7;6;6;3;0;4;1;0;2;1;1;0;0;0;0;1;0;0
536661;Sojovice;437;295;291;98;63;28;29;17;8;19;5;10;1;1;3;1;2;0;2;2;0;0;0;0;0;1;1;0;0
565539;Sovínky;244;162;159;58;18;16;12;9;9;8;12;9;1;1;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0
536709;Strašnov;212;152;152;58;15;16;15;12;12;7;8;1;1;4;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
571881;Strážiště;101;79;79;19;2;3;15;6;15;12;2;0;3;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
536717;Strenice;137;85;85;27;3;9;13;3;9;7;0;1;1;2;4;0;2;0;2;0;2;0;0;0;0;0;0;0;0
565920;Sudoměř;81;56;55;18;3;10;5;8;4;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
536768;Sukorady;284;184;183;80;28;18;13;16;8;3;4;7;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
570982;Tuřice;237;170;170;62;38;7;24;4;7;8;6;2;2;0;7;0;1;0;0;1;0;0;0;0;0;0;0;1;0
570761;Ujkovice;90;62;62;28;1;11;7;1;1;7;2;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0
536857;Velké Všelisy;294;191;189;66;11;20;7;29;9;30;4;5;1;2;0;2;0;1;1;0;0;0;0;0;0;1;0;0;0
565725;Veselice;111;78;78;34;1;7;7;7;5;9;1;1;1;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0
565628;Vinařice;227;165;164;46;21;8;16;18;9;28;3;2;1;7;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0
570842;Vinec;203;129;129;50;13;23;5;6;4;13;5;4;1;0;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0
565571;Vlkava;347;215;214;79;27;30;18;15;10;14;6;5;1;3;1;0;2;0;0;1;2;0;0;0;0;0;0;0;0
572021;Vrátno;137;82;81;26;0;25;1;2;4;14;0;4;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0
536938;Všejany;539;346;342;108;31;36;20;36;20;43;17;5;5;6;4;0;3;0;2;1;0;0;1;3;0;0;1;0;0
571814;Zdětín;434;278;273;89;33;25;35;16;14;29;10;4;7;5;1;1;0;0;0;1;3;0;0;0;0;0;0;0;0
536971;Žďár;1094;784;777;240;95;77;73;70;85;38;33;16;10;10;5;13;2;3;2;0;2;0;2;0;0;0;1;0;0
536989;Žerčice;324;196;196;80;13;28;24;11;9;16;7;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
536997;Židněves;268;173;172;56;24;25;12;17;6;18;0;5;1;0;3;0;0;0;5;0;0;0;0;0;0;0;0;0;0
